trajectory,episode,step,base_reward,progress_reward,total_reward,object_height,grasped,success
expert,demo_0,1,0.00905394030025307,0.0,0.00905394030025307,0.819880973280352,False,False
expert,demo_0,2,0.009028560499336485,0.0,0.009028560499336485,0.818768122058416,False,False
expert,demo_0,3,0.009691948595737927,0.0,0.009691948595737927,0.8200580314851563,False,False
expert,demo_0,4,0.010682370724935915,0.0,0.010682370724935915,0.8206709011656821,False,False
expert,demo_0,5,0.012125840613996797,0.0,0.012125840613996797,0.8209485955788838,False,False
expert,demo_0,6,0.013967826877533469,0.0,0.013967826877533469,0.8210806178007735,False,False
expert,demo_0,7,0.016171482745920753,0.0,0.016171482745920753,0.8211451133203853,False,False
expert,demo_0,8,0.018795605379266264,0.0,0.018795605379266264,0.8211769917644003,False,False
expert,demo_0,9,0.02179681109110776,0.0,0.02179681109110776,0.8211928334678223,False,False
expert,demo_0,10,0.025001643968748103,0.0,0.025001643968748103,0.8212007261680407,False,False
expert,demo_0,11,0.028570761828566115,0.0,0.028570761828566115,0.8212046634492055,False,False
expert,demo_0,12,0.03268927710432869,0.0,0.03268927710432869,0.8212066287887684,False,False
expert,demo_0,13,0.03733538598240665,0.0,0.03733538598240665,0.8212076101142393,False,False
expert,demo_0,14,0.042831799786503505,0.0,0.042831799786503505,0.8212081001812281,False,False
expert,demo_0,15,0.04904846043388522,0.0,0.04904846043388522,0.8212083449360172,False,False
expert,demo_0,16,0.05572362361715758,0.0,0.05572362361715758,0.8212084671789058,False,False
expert,demo_0,17,0.062386613228122896,0.0,0.062386613228122896,0.8212085282343404,False,False
expert,demo_0,18,0.06876102609995419,0.0,0.06876102609995419,0.82120855872938,False,False
expert,demo_0,19,0.07628930038205103,0.0,0.07628930038205103,0.8212085739606513,False,False
expert,demo_0,20,0.08567301816620142,0.0,0.08567301816620142,0.8212085815681893,False,False
expert,demo_0,21,0.09764037450552893,0.0,0.09764037450552893,0.8212085853679185,False,False
expert,demo_0,22,0.11254047117005456,0.0,0.11254047117005456,0.8212085872657664,False,False
